date,Energy (Wh),lightFixtures,KitchenTemp,KitchenHumidity,LivingRoomTemp,LivingRoomHumidity,LaundryTemp,LaundryHumidity,OfficeRoomTemp,OfficeRoomHumidity,BathRoomTemp,BathRoomHumidity,NorthSideTemp,NorthSideHumidity,IroningRoomTemp,BedRoom1Humidity,BedRoom1RoomTemp,BedRoom1Humidity.1,BedRoom2Temp,BedRoom2Humidity,OutsideTemp,Pressure,OutsideHumdity,Windspeed,Tdewpoint,RandomVariable1,RandomVariable2,Visibility
2016-01-11 17:00:00,60,,,47.5966666666667,,44.79,19.79,,,45.5666666666667,17.1666666666667,,7.026666666666671,,17.2,41.6266666666667,18.2,48.9,17.033333333333303,45.53,,733.5,92.0,7.0,,13.275433157105,13.275433157105,63.0
2016-01-11 17:10:00,60,30.0,,46.6933333333333,,44.7225,,,,45.9925,17.1666666666667,,,,17.2,41.56,18.2,48.8633333333333,17.0666666666667,45.56,6.48333333333333,733.6,92.0,6.666666666666671,,18.606194981839508,18.606194981839508,59.1666666666667
2016-01-11 17:20:00,50,,19.89,46.3,19.2,44.6266666666667,,44.9333333333333,,45.89,17.1666666666667,55.09,6.56,,17.2,41.433333333333294,18.2,48.73,17.0,,6.36666666666667,733.7,92.0,6.3333333333333295,,28.64266816759482,28.64266816759482,55.3333333333333
2016-01-11 17:30:00,50,,19.89,46.0666666666667,19.2,44.59,19.79,45.0,,45.7233333333333,,55.09,6.43333333333333,,,41.29,18.1,48.59,17.0,45.4,6.25,733.7999999999997,,6.0,5.0,45.41038949973882,45.41038949973882,51.5
2016-01-11 17:40:00,60,,,46.3333333333333,19.2,44.53,19.79,,,45.53,17.2,55.09,6.366666666666671,84.8933333333333,,41.23,18.1,48.59,17.0,,6.133333333333329,733.9,,5.66666666666667,4.9,10.084096551872788,10.084096551872788,47.666666666666686
2016-01-11 17:50:00,50,,,46.0266666666667,,44.5,19.79,,,45.73,17.1333333333333,,,,,41.26,18.1,48.59,17.0,45.29,,734.0,92.0,,,44.919484248384826,44.919484248384826,43.8333333333333
2016-01-11 18:00:00,60,50.0,19.89,45.7666666666667,,44.5,,44.9,,45.79,17.1,,,,17.1333333333333,41.2,18.1,48.59,17.0,,5.9,734.1,92.0,5.0,4.7,47.23376343026758,47.23376343026758,40.0
2016-01-11 18:10:00,60,,19.856666666666698,,,44.5,19.73,,,45.8633333333333,17.1,,6.19,86.4233333333333,17.1,41.2,18.1,48.59,17.0,45.29,5.91666666666667,734.1666666666669,91.8333333333333,,4.68333333333333,33.03988962434232,33.03988962434232,40.0
2016-01-11 18:20:00,60,40.0,19.79,,,44.4333333333333,,44.79,18.89,45.79,17.1666666666667,,6.1233333333333295,,17.1666666666667,41.4,18.1,48.59,17.0,45.29,,734.233333333333,91.6666666666667,5.3333333333333295,4.66666666666667,,31.455702194944024,40.0
2016-01-11 18:30:00,70,,19.856666666666698,46.09,19.23,44.4,,44.8633333333333,,46.0966666666667,,,6.19,87.6266666666667,,41.5,18.1,48.59,17.0,45.29,5.95,734.2999999999997,,5.5,4.65,,3.089313523378223,40.0
